Geneid	persister_1	persister_2	persister_3	control_1	control_2	control_3
SAOUHSC_00553	3139	3173	1888	9161	14685	3335
SAOUHSC_00554	3575	3761	2172	10468	16127	8537
SAOUHSC_00555	321	226	195	313	293	213
SAOUHSC_00556	11236	9471	10568	3235	4475	986
SAOUHSC_00557	208	132	133	135	124	15
SAOUHSC_00558	483	379	363	568	670	340
SAOUHSC_00559	61	44	56	85	127	30
SAOUHSC_00560	132	73	86	96	119	10
SAOUHSC_00561	233211	187982	176208	48545	19761	899
SAOUHSC_00562	2820	2359	2455	6119	8826	2222
SAOUHSC_00564	691	632	528	959	1176	227
SAOUHSC_00565	695	622	564	780	1231	224
SAOUHSC_00567	693	517	503	533	827	206
SAOUHSC_00569	23845	31412	17484	73970	100980	26905
SAOUHSC_00571	589	444	413	859	1025	183
SAOUHSC_00572	758	595	557	1477	1787	209
SAOUHSC_00573	2978	2327	1334	4965	5182	421
SAOUHSC_00574	23720	20647	19745	21087	16702	4606
SAOUHSC_00575	23252	17277	19355	16211	12388	1829
SAOUHSC_00577	4694	4371	3967	1919	2302	502
SAOUHSC_00578	8244	8701	6837	5464	5585	4278
SAOUHSC_00579	9981	9979	8304	8128	7409	4187
SAOUHSC_00580	5515	4216	4752	1117	1466	137
SAOUHSC_00581	10119	6009	5056	1618	2375	361
SAOUHSC_00582	2086	1261	1035	276	499	28
SAOUHSC_00583	20	16	28	7	3	0
SAOUHSC_00584	1026	930	816	974	1737	212
SAOUHSC_00585	39	22	35	66	120	34
SAOUHSC_00586	191	147	150	176	234	52
SAOUHSC_00587	304	204	212	233	282	55
SAOUHSC_00588	217	158	199	180	187	33
SAOUHSC_00589	152	103	146	121	190	8
SAOUHSC_00591	157	118	132	124	177	22
SAOUHSC_00592	271	176	211	218	360	33
SAOUHSC_00593	116	61	88	128	159	14
SAOUHSC_00595	14	1	22	35	66	3
SAOUHSC_00596	56	45	47	64	49	13
SAOUHSC_00598	140	89	102	94	119	8
SAOUHSC_00599	90	59	106	135	183	14
SAOUHSC_00600	174	121	100	115	179	16
SAOUHSC_00602	166	94	101	138	196	60
SAOUHSC_00603	1377	1144	923	1812	2654	559
SAOUHSC_00604	4404	4881	2253	9900	13618	1375
SAOUHSC_00605	594	344	341	1312	2026	90
SAOUHSC_00606	4439	2971	2464	6106	7842	963
SAOUHSC_00607	2708	1845	1607	3157	3416	473
SAOUHSC_00608	3960	3319	2220	56019	81587	16045
SAOUHSC_00609	5	5	5	74	38	10
SAOUHSC_00610	604	458	444	1360	2045	71
SAOUHSC_00611	4123	2518	3129	6311	7607	464
SAOUHSC_00612	132	80	95	102	132	25
SAOUHSC_00613	1733	917	1217	1569	1854	131
SAOUHSC_00614	454	379	292	1448	2413	107
SAOUHSC_00615	752	523	478	1636	2035	216
SAOUHSC_00616	1486	1029	1077	1993	2704	187
SAOUHSC_00617	38150	34243	18928	47577	42901	18411
SAOUHSC_00618	2666	2015	2179	4099	6562	378
SAOUHSC_00619	4820	5886	3455	12092	18262	1502
SAOUHSC_00620	32993	33047	23485	96143	121290	17953
SAOUHSC_00621	745	591	488	1456	2314	225
SAOUHSC_00622	509	293	299	212	342	32
SAOUHSC_00624	3372	3307	2685	3483	4985	329
SAOUHSC_00625	13538	13390	9579	17755	25321	3872
SAOUHSC_00626	2017	1932	1614	2955	4550	789
SAOUHSC_00627	1346	1258	949	1839	3385	600
SAOUHSC_00628	7333	8039	5606	11761	19644	3834
SAOUHSC_00629	786	675	638	1565	2742	437
SAOUHSC_00630	57	38	40	48	63	11
SAOUHSC_00632	4831	4125	2958	6667	9429	1387
SAOUHSC_00633	12124	9939	6675	14491	15876	1782
SAOUHSC_00634	29283	22754	25484	14404	26013	2745
SAOUHSC_00636	12081	9014	10928	7435	14584	608
SAOUHSC_00637	10458	7662	6904	13177	23693	2277
SAOUHSC_00638	7938	5450	6068	4669	5165	956
SAOUHSC_00639	3315	2126	2567	1149	1252	311
SAOUHSC_00640	1276	862	968	2091	3032	392
SAOUHSC_00641	9731	7548	7872	6805	7550	1647
SAOUHSC_00642	9376	7209	8053	7352	8038	306
SAOUHSC_00643	2384	1749	1938	2303	3076	308
SAOUHSC_00644	2944	2282	2600	2147	3216	230
SAOUHSC_00645	1557	1149	1493	1107	1449	284
SAOUHSC_00646	4454	3734	3868	3807	6074	668
SAOUHSC_00647	61640	40405	43339	14436	15347	2736
SAOUHSC_00648	11085	7372	9438	8719	9309	2239
SAOUHSC_00650	18	19	21	7	13	1
SAOUHSC_00651	3298	2648	2922	2356	3734	508
SAOUHSC_00652	4550	3806	2790	5028	7956	1004
SAOUHSC_00653	2653	2070	1661	1864	2596	400
SAOUHSC_00654	5118	3956	3349	3003	4632	719
SAOUHSC_00655	1471	1511	722	2526	4079	1020
SAOUHSC_00656	970	1031	574	1488	3278	731
SAOUHSC_00658	616	552	344	739	1555	175
SAOUHSC_00659	11034	9452	7585	17328	13816	501
SAOUHSC_00660	25679	27463	33139	9769	9887	2296
SAOUHSC_00661	1279	1079	1141	1066	1319	102
SAOUHSC_A00635	11	6	11	19	11	2
SAOUHSC_00662	5151	3604	4243	1379	1194	94
SAOUHSC_00663	1812	1296	755	2531	2013	146
SAOUHSC_00664	1425	1243	992	2114	3020	181
SAOUHSC_00665	1069	767	775	1165	1154	112
SAOUHSC_00666	1833	1243	1314	1746	2137	255
SAOUHSC_00667	2175	1738	1442	9005	15085	1539
SAOUHSC_00668	5554	4266	4484	10577	19194	592
SAOUHSC_00669	3902	3371	3636	4431	5129	364
SAOUHSC_00670	8973	7853	6686	6650	5837	1509
SAOUHSC_00671	1752	1541	1630	7451	4260	2183
SAOUHSC_00672	2607	1854	1699	2694	3113	218
SAOUHSC_00673	957	588	767	836	1424	97
SAOUHSC_00674	222	103	188	670	1997	43
SAOUHSC_00675	6314	5036	4675	5750	6568	1546
SAOUHSC_00676	4862	3686	3634	3914	3505	870
SAOUHSC_00677	7	2	7	16	13	1
SAOUHSC_00678	1827	1604	1235	4729	7018	451
SAOUHSC_00679	3851	3346	2898	6738	9180	533
SAOUHSC_00680	572	459	485	790	1788	210
SAOUHSC_00681	3145	2646	2135	3665	4436	550
SAOUHSC_00682	1158	898	941	1678	2116	186
SAOUHSC_00683	441	302	295	1295	1714	100
SAOUHSC_00684	110	64	89	177	217	29
SAOUHSC_00685	950	602	549	1940	2709	161
SAOUHSC_00686	1883	1684	1150	6313	6760	616
SAOUHSC_00687	347	264	254	836	834	174
SAOUHSC_00688	4467	4652	2567	18229	13701	10930
SAOUHSC_00689	2651	2589	1700	11072	10695	3412
SAOUHSC_00690	4579	4077	2758	20766	21419	3324
SAOUHSC_00691	2373	1926	1834	3593	6237	1254
SAOUHSC_00692	5916	4283	4014	6808	8274	1519
SAOUHSC_00693	8405	6733	5879	9468	9775	1000
SAOUHSC_00694	77056	79860	63869	81254	75411	10028
SAOUHSC_00695	1279	983	793	1791	1403	275
SAOUHSC_00696	2752	2059	1979	3229	4625	650
SAOUHSC_00697	378	178	371	484	562	47
SAOUHSC_00698	3085	2188	2522	2440	3116	673
SAOUHSC_00699	7384	5770	6337	6896	9806	1906
SAOUHSC_00700	935	601	658	853	763	96
SAOUHSC_00701	525	309	644	791	1225	128
SAOUHSC_00702	493	366	411	607	482	34
SAOUHSC_00703	2093	1812	1869	1999	2426	398
SAOUHSC_00704	630	463	695	1160	1459	91
SAOUHSC_00705	485	318	388	434	930	98
SAOUHSC_00706	8405	6324	6135	2764	5860	820
SAOUHSC_00707	11596	10418	8353	4301	14912	6550
SAOUHSC_00708	47521	39887	33266	29827	66939	18159
SAOUHSC_00709	2	0	4	2	0	0
SAOUHSC_00710	1185	863	636	1441	1890	379
SAOUHSC_00711	5415	4526	3418	16340	17440	1652
SAOUHSC_00712	610	545	276	3470	5044	1336
SAOUHSC_00713	2031	1712	1240	9923	10814	1799
SAOUHSC_00714	48179	33733	27316	35277	40016	1764
SAOUHSC_00715	30852	22064	17499	27595	31338	1834
SAOUHSC_00716	15874	11129	9050	18336	15477	995
SAOUHSC_00717	24594	16753	12923	24122	23525	467
SAOUHSC_00718	2234	1202	2404	1390	1475	203
SAOUHSC_00719	8354	6424	7578	3081	4397	1274
SAOUHSC_00720	3016	2526	2800	1202	1871	133
SAOUHSC_00721	3267	2530	3189	1047	1889	137
SAOUHSC_00722	262	188	184	232	228	57
SAOUHSC_00723	929	630	708	648	924	259
SAOUHSC_00724	722	567	619	589	893	95
SAOUHSC_00725	312	269	318	544	555	25
SAOUHSC_00726	1723	1295	1455	2056	2761	248
SAOUHSC_00727	3039	2303	2582	3107	3782	795
SAOUHSC_00728	251703	170293	213603	75227	61462	6215
SAOUHSC_A00703	22	8	19	4	1	0
SAOUHSC_00729	17970	11954	13628	9764	14143	2328
SAOUHSC_00730	32325	19789	25241	14311	21384	2172
SAOUHSC_00731	1869	1760	1045	5255	7323	2801
SAOUHSC_00732	5391	4035	3244	8769	11510	1619
SAOUHSC_00733	610	539	396	6391	8415	1046
SAOUHSC_00734	1912	1292	1241	4904	6308	480
SAOUHSC_00735	278	199	203	486	748	143
SAOUHSC_00736	9738	10349	6438	19159	17903	3387
SAOUHSC_00737	10	9	12	15	25	4
SAOUHSC_00738	6676	6308	4054	40529	41731	9059
SAOUHSC_00739	2470	1974	2094	1481	1931	497
SAOUHSC_00740	3338	2616	2763	2384	3194	172
SAOUHSC_00741	3850	2798	2586	10499	12965	1780
SAOUHSC_00742	37452	25732	23851	92784	110319	12651
SAOUHSC_00743	18314	12756	11774	51842	59142	5618
SAOUHSC_00744	37	14	20	15	11	14
SAOUHSC_00745	6	0	5	1	3	4
SAOUHSC_00746	720	684	484	443	496	54
SAOUHSC_00747	578	433	472	197	230	3
SAOUHSC_00748	715	542	511	174	199	17
SAOUHSC_00749	1601	1235	1218	585	868	93
SAOUHSC_00751	1267	999	942	1475	1692	185
SAOUHSC_00752	2012	1405	1303	2403	2354	556
SAOUHSC_00753	223	200	176	394	517	21
SAOUHSC_00754	1870	1131	1383	1306	1679	97
SAOUHSC_00755	9271	8212	6611	4183	4782	327
SAOUHSC_00756	4699	4583	3349	3786	4836	1392
SAOUHSC_00757	9683	6500	6712	6496	7764	2024
SAOUHSC_00758	535	339	325	496	660	96
SAOUHSC_00759	412	256	232	527	533	57
SAOUHSC_00760	25980	19859	26942	4394	3980	320
SAOUHSC_00762	2856	2050	2283	4053	5940	664
SAOUHSC_00763	2055	1459	1033	2779	2881	891
SAOUHSC_00764	4976	3376	3775	3928	2490	331
SAOUHSC_00765	662	623	633	229	195	9
SAOUHSC_00766	676	503	512	350	430	67
SAOUHSC_00767	20414	17487	10711	51000	68740	7089
SAOUHSC_00769	41686	32227	25540	44102	54881	14872
SAOUHSC_00770	87	62	82	102	126	42
SAOUHSC_00771	3875	2663	2839	4237	6773	2154
SAOUHSC_00772	7	7	6	1	5	1
SAOUHSC_00773	1269	972	1051	419	610	51
SAOUHSC_00774	613	293	346	1893	2954	146
SAOUHSC_00775	191	86	97	520	594	23
SAOUHSC_00776	5796	4203	4293	2389	2560	458
SAOUHSC_00778	0	0	0	0	0	0
SAOUHSC_A00747	2	0	5	0	0	0
SAOUHSC_00779	8633	6130	6589	3849	4198	606
SAOUHSC_00780	35084	25613	28979	15907	15564	5580
SAOUHSC_00781	1925	1897	1093	6336	9499	1594
SAOUHSC_00782	734	707	439	2801	4600	915
SAOUHSC_00783	521	467	335	1612	2527	319
SAOUHSC_00784	2357	1909	1469	4911	5838	394
SAOUHSC_00785	9057	7348	4060	15513	20750	7290
SAOUHSC_00786	214	151	93	149	144	120
SAOUHSC_00787	3420	3452	2142	5105	8608	876
SAOUHSC_00788	11186	12340	7161	26937	35526	16596
SAOUHSC_00789	16559	15931	10626	27927	38964	8151
SAOUHSC_T0005	38	32	22	184	168	14
SAOUHSC_00790	18713	14848	11071	13485	10543	1380
SAOUHSC_00792	2834	2642	1961	14444	15545	4406
SAOUHSC_00793	6226	6730	4633	24304	44460	15425
SAOUHSC_00794	38595	30431	24578	101828	74446	33440
SAOUHSC_00795	57751	47746	34629	300827	266924	93835
SAOUHSC_00796	14324	10545	8363	85442	81018	21428
SAOUHSC_00797	13994	11601	8865	78221	89165	22242
SAOUHSC_00798	28477	21979	17275	146933	154297	86796
SAOUHSC_00799	39621	31154	21424	153749	148763	104077
SAOUHSC_00800	3605	2693	3221	5187	5045	154
SAOUHSC_00801	9390	8985	7135	8349	13537	5816
SAOUHSC_00802	16247	17010	14691	9156	12618	1992
SAOUHSC_00803	71167	74359	62662	49151	56247	11343
SAOUHSC_00804	15604	15562	13432	10718	14442	3400
SAOUHSC_00805	77	61	64	45	26	7
SAOUHSC_00806	1247	730	1309	330	533	46
SAOUHSC_00807	860	489	636	205	243	51
SAOUHSC_00808	2130	1318	1813	852	933	84
SAOUHSC_00809	9	10	6	6	3	1
SAOUHSC_00810	171	205	146	494	900	133
SAOUHSC_00811	798	757	654	1570	2937	489
SAOUHSC_00812	115352	117859	73936	122764	112150	130584
SAOUHSC_00813	129	120	103	165	72	20
SAOUHSC_00814	2600	1717	1676	2320	821	108
SAOUHSC_00816	686	502	412	1811	1530	163
SAOUHSC_00817	438	360	222	951	858	257
SAOUHSC_00818	254	114	160	46	56	5
SAOUHSC_00819	52904	38231	33079	91447	61377	14238
SAOUHSC_00820	1790	1595	1331	3057	2726	276
SAOUHSC_00821	893	895	644	1789	1629	206
SAOUHSC_00822	397	316	221	881	1174	312
SAOUHSC_00823	953	728	909	2273	1922	225
SAOUHSC_00824	911	678	752	2070	2725	313
SAOUHSC_00825	909	687	705	440	401	41
SAOUHSC_00826	4192	4443	2818	14951	14473	943
SAOUHSC_00827	7095	5363	6416	1550	1307	449
SAOUHSC_00828	1682	1262	1351	6100	5572	537
SAOUHSC_00830	8424	6900	6814	7139	6303	463
SAOUHSC_00831	2529	2842	1735	6408	7502	3523
SAOUHSC_00832	679	501	464	486	565	35
SAOUHSC_00833	8641	6866	5824	4280	6507	1388
SAOUHSC_00834	1652	1234	741	2715	2232	837
SAOUHSC_00835	474	365	220	3154	5463	129
SAOUHSC_00836	4234	3546	2594	11954	16603	1044
SAOUHSC_00837	48	52	52	74	150	7
SAOUHSC_00838	1436	1478	1040	1151	1139	112
SAOUHSC_00839	193	179	120	143	142	54
SAOUHSC_00840	1023	1052	741	1574	1378	219
SAOUHSC_00841	544	608	501	1064	1210	157
SAOUHSC_00842	13353	10425	12966	30742	54171	11151
SAOUHSC_00843	7121	5613	6534	10866	20438	3873
SAOUHSC_00844	15439	11067	15723	16653	37120	3095
SAOUHSC_00845	69305	54935	36959	122789	129956	5855
SAOUHSC_00846	975	799	976	469	360	81
SAOUHSC_00847	55032	57040	42669	26727	26398	6105
SAOUHSC_00848	105874	98831	79661	44214	37152	8529
SAOUHSC_00849	117387	109742	89898	45444	47200	19329
SAOUHSC_00850	51868	49999	41101	18440	21082	7114
SAOUHSC_00851	129590	113051	97875	49860	61824	9542
SAOUHSC_00852	47	46	46	14	19	5
SAOUHSC_00853	81	52	79	295	180	17
SAOUHSC_00854	1783	1627	1163	6025	6949	1405
SAOUHSC_00855	1121	1034	706	3035	4028	2352
SAOUHSC_00857	41	50	39	46	81	47
SAOUHSC_00858	929	771	520	1440	1716	127
SAOUHSC_00859	626	452	389	954	1101	232
SAOUHSC_00860	1930	1542	1100	2648	3263	373
SAOUHSC_00861	10284	9689	7089	17576	18960	4082
SAOUHSC_00862	718	643	465	1353	1369	140
SAOUHSC_00863	908	690	584	878	1010	46
SAOUHSC_00864	309	297	213	899	1070	46
SAOUHSC_00865	937	723	644	1982	2031	337
SAOUHSC_00866	2076	1659	1355	2893	3465	644
SAOUHSC_00867	1	1	1	2	4	1
SAOUHSC_00868	341	346	422	2250	8187	188
SAOUHSC_00869	12429	11020	8812	35587	53926	3362
SAOUHSC_00870	7162	5733	5674	14780	14784	649
SAOUHSC_00871	1686	1314	1668	3087	5520	180
SAOUHSC_00872	12351	9545	9021	18378	19875	1037
SAOUHSC_00873	7027	4408	4479	6250	5376	987
SAOUHSC_00874	1106	567	873	448	451	51
SAOUHSC_00875	10924	8513	7054	8832	8234	3322
SAOUHSC_00876	1211	882	584	1901	2975	453
SAOUHSC_00877	1793	1437	881	2946	3091	797
SAOUHSC_00878	17253	13287	10612	25307	27265	6330
SAOUHSC_00879	1868	1401	937	2506	3564	476
SAOUHSC_00880	7802	6764	5228	9837	6258	1061
SAOUHSC_00881	4821	4074	3172	4564	4747	765
SAOUHSC_00882	8202	4266	3454	258	408	63
SAOUHSC_00883	2481	1624	1692	3707	4511	456
SAOUHSC_00884	807	680	523	1432	1438	742
SAOUHSC_00885	2958	2493	2372	5447	9268	807
SAOUHSC_00886	7305	6363	5073	13566	16119	2385
SAOUHSC_00887	1745	1526	1170	3425	5206	503
SAOUHSC_00888	1716	1423	1196	3748	4458	499
SAOUHSC_00889	8141	7238	5154	21527	28281	4062
SAOUHSC_00890	117	96	70	418	516	49
SAOUHSC_00891	4510	3277	2592	5075	5236	2586
SAOUHSC_00892	5835	5357	3658	6979	8766	2170
SAOUHSC_00893	1281	1057	595	3179	5501	1745
SAOUHSC_00894	5237	5725	2865	15186	19464	2737
SAOUHSC_00895	17259	17025	10727	24166	31437	7490
SAOUHSC_00896	1984	1786	1048	840	845	909
SAOUHSC_00897	974	723	901	630	939	105
SAOUHSC_00898	32931	29732	43587	1137	7383	569
SAOUHSC_00899	16617	14923	21639	940	7070	1307
SAOUHSC_00900	9459	6791	5227	21540	21533	3184
SAOUHSC_00901	1682	1307	1223	4024	7003	391
SAOUHSC_00902	2231	2024	1714	3707	5678	1123
SAOUHSC_00903	2698	2347	1676	2749	3564	268
SAOUHSC_00904	5409	4759	3929	5848	7291	877
SAOUHSC_00905	12557	10210	9409	10734	12812	2375
SAOUHSC_00906	9382	7572	5715	20044	25542	7518
SAOUHSC_00907	1429	959	928	1394	1498	488
SAOUHSC_00908	5996	5327	3346	11728	13178	4773
SAOUHSC_00909	2236	1939	1274	3671	4000	700
SAOUHSC_00910	2882	3081	1910	5815	7443	914
SAOUHSC_00911	2602	1503	1686	533	524	37
SAOUHSC_00912	370589	361279	242583	59103	18970	1753
SAOUHSC_00913	71	36	46	51	54	1
SAOUHSC_00914	601	876	591	48	35	3
SAOUHSC_00915	307	447	385	72	82	7
SAOUHSC_00916	200	205	191	93	73	10
SAOUHSC_00917	193	263	159	140	178	20
SAOUHSC_00918	2042	1617	1722	675	633	469
SAOUHSC_00919	1612	1275	984	3807	2753	122
SAOUHSC_00920	1937	1589	1526	4059	7645	3215
SAOUHSC_00921	8379	6759	5967	17764	27707	16662
SAOUHSC_00922	63	25	27	230	168	6
SAOUHSC_00923	482	392	360	5171	4802	463
SAOUHSC_00924	678	579	547	4829	5566	1098
SAOUHSC_00925	1410	1317	1342	7920	11618	3093
SAOUHSC_00926	1692	1269	1678	8288	12463	3037
SAOUHSC_00927	7138	4862	6327	22673	30735	6599
SAOUHSC_00928	492	261	272	448	712	108
SAOUHSC_00929	147	99	87	155	253	19
SAOUHSC_00930	175	102	90	135	239	53
SAOUHSC_00931	188	86	125	151	237	20
SAOUHSC_00932	582	333	367	359	490	125
SAOUHSC_00933	3921	2652	3210	5072	6377	533
SAOUHSC_00934	377059	306472	282998	203505	252732	36560
SAOUHSC_00935	34135	29779	19186	31496	39585	3338
SAOUHSC_00936	222	194	202	52	73	6
SAOUHSC_00937	1233	826	703	5899	8246	822
SAOUHSC_00938	3333	2488	2125	3529	4255	466
SAOUHSC_00939	1280	919	747	2162	2577	193
SAOUHSC_00940	461	335	226	1246	956	71
SAOUHSC_00941	1447	1187	976	2071	2984	121
SAOUHSC_00942	3877	3306	2515	4797	6804	964
SAOUHSC_00943	6744	5596	4375	7056	7921	1531
SAOUHSC_00944	2091	1612	1496	2320	3274	464
SAOUHSC_00945	3428	3074	2635	3860	6252	1147
SAOUHSC_00946	6004	4940	4622	7446	8783	1208
SAOUHSC_00947	11071	8650	7315	13875	13728	1611
SAOUHSC_00948	3866	3146	2839	12009	11992	665
SAOUHSC_00949	654	783	425	17230	19863	2313
SAOUHSC_00950	726	623	528	2318	2349	253
SAOUHSC_00951	9897	7018	6395	13970	15276	1082
SAOUHSC_00952	6616	4358	4447	3350	2927	253
SAOUHSC_00953	7184	5294	4811	5786	6702	606
SAOUHSC_00954	4702	3887	3756	4790	6173	1661
SAOUHSC_00955	893	623	917	749	1430	197
SAOUHSC_00956	10746	7887	9366	7628	9825	2195
SAOUHSC_00957	3647	3252	2326	8364	6949	4107
SAOUHSC_00958	2376	1746	1796	2120	2990	262
SAOUHSC_00959	7203	5291	5872	4573	5661	538
SAOUHSC_00960	2495	1580	1673	4285	4746	720
SAOUHSC_T00049	274	213	107	163	11	302
SAOUHSC_T0008	295	243	292	106	39	75
SAOUHSC_00961	15702	9743	17177	524	539	52
SAOUHSC_00962	2803	2979	1616	40328	64017	13464
SAOUHSC_00963	1381	1002	839	1870	3311	218
SAOUHSC_00964	1765	1566	1226	2131	2339	78
SAOUHSC_00965	6111	4391	5006	7747	6051	680
SAOUHSC_00966	2139	1746	988	1986	616	1522
SAOUHSC_00967	2	0	2	2	9	1
SAOUHSC_00968	290	193	234	882	917	119
SAOUHSC_00969	197	124	192	217	285	26
SAOUHSC_00970	532	342	380	379	295	49
SAOUHSC_00971	984	526	1001	1006	279	38
SAOUHSC_00972	110	77	79	380	361	21
SAOUHSC_00973	342	239	310	975	792	75
SAOUHSC_00974	2132	1370	1437	1488	1631	87
SAOUHSC_00975	746	508	482	4081	3533	98
SAOUHSC_00976	888	664	694	287	269	57
SAOUHSC_00977	499	487	276	2328	2825	210
SAOUHSC_00978	71	59	63	154	115	8
SAOUHSC_00979	279	185	127	620	673	66
SAOUHSC_00980	8171	5085	6793	3962	4363	478
SAOUHSC_00981	289	209	156	148	108	20
SAOUHSC_00982	2545	1784	1562	1325	1415	121
SAOUHSC_00983	7230	5403	3991	6646	8494	2100
SAOUHSC_00984	4862	3263	3041	3667	4206	657
SAOUHSC_00985	11419	9012	6536	11076	10668	3243
SAOUHSC_00986	2072	1078	1794	314	429	50
SAOUHSC_00987	5673	3142	5300	942	1050	125
SAOUHSC_00988	3916	2093	3799	427	497	176
SAOUHSC_00989	2336	2175	1618	8507	13214	1411
SAOUHSC_00991	622	533	548	1329	1174	73
SAOUHSC_00992	1617	1049	1434	292	255	16
SAOUHSC_00993	339	221	293	63	40	2
SAOUHSC_00994	24664	23483	23448	61617	61986	18886
SAOUHSC_00995	361	303	268	628	798	184
SAOUHSC_00996	14119	8543	10014	7494	9154	573
SAOUHSC_00997	26090	17240	19568	16048	23620	3255
SAOUHSC_00998	12156	7908	11491	1944	1815	72
SAOUHSC_00999	12019	11135	7185	19356	14687	2400
SAOUHSC_01000	24763	23203	16671	39585	40117	10812
SAOUHSC_01001	72857	71854	53749	131381	148702	56458
SAOUHSC_01002	30339	31802	22912	71165	85386	18286
SAOUHSC_01003	56	15	53	28	37	3
SAOUHSC_01005	24241	20180	18072	9826	18062	759
SAOUHSC_01007	19716	14004	13806	11946	14941	1713
SAOUHSC_01008	1662	1872	1144	6977	7377	3186
SAOUHSC_01009	4790	5480	3664	14253	23846	3862
SAOUHSC_01010	1438	1558	1087	4036	7304	1797
SAOUHSC_01011	1199	1129	881	2912	3561	459
SAOUHSC_01012	3492	3488	2667	7472	13383	2254
SAOUHSC_01013	19702	17622	14656	41218	42478	14852
SAOUHSC_01014	21144	17335	16209	40574	44975	8934
SAOUHSC_01015	17737	15235	14622	32383	41186	12010
SAOUHSC_01016	11552	9609	9628	18912	29090	4546
SAOUHSC_01017	34131	28672	27912	51081	75094	15886
SAOUHSC_01018	50440	36779	40075	62558	70792	23300
SAOUHSC_01019	2467	1484	2324	955	1009	67
SAOUHSC_01021	5900	4869	5269	3886	4207	906
SAOUHSC_01022	1494	1203	1318	2261	2466	470
SAOUHSC_01023	97	59	71	27	31	9
SAOUHSC_01024	1460	1347	742	5101	5015	98
SAOUHSC_01025	16342	15317	13296	25783	31665	5294
SAOUHSC_01026	1140	1016	830	2503	3951	512
SAOUHSC_01027	7792	7250	5001	20014	14662	5883
SAOUHSC_01028	10824	10816	6844	24067	19776	7140
SAOUHSC_01029	83798	84260	54080	149184	131528	32749
SAOUHSC_01030	536	302	340	455	304	11
SAOUHSC_01031	10082	7461	6136	5191	5512	1085
SAOUHSC_01032	7991	5845	4808	4315	5054	294
SAOUHSC_01034	6586	5607	3978	6107	8700	2579
SAOUHSC_A00992	1412	1425	891	1169	1290	396
SAOUHSC_01035	24740	17652	13384	34004	30026	3136
SAOUHSC_01036	1809	1254	1175	2956	4470	260
SAOUHSC_01037	119	138	101	353	780	5
SAOUHSC_01038	2197	1409	1303	2075	2062	290
SAOUHSC_01039	3451	2158	2096	5620	6293	260
SAOUHSC_01040	36502	33829	25292	33035	21599	7496
SAOUHSC_01041	28660	24579	19249	26372	15055	12836
SAOUHSC_01042	58926	52988	39514	55736	34744	18769
SAOUHSC_01043	81578	65017	52205	80876	36959	13097
SAOUHSC_01044	772	623	516	1000	1302	238
SAOUHSC_01045	1281	1422	1246	1267	2165	87
SAOUHSC_01046	2384	2766	2319	1717	3023	129
SAOUHSC_01047	1107	1117	1128	617	1027	84
SAOUHSC_01048	2417	2360	2391	1246	1813	108
SAOUHSC_01049	6585	6173	5590	4954	5880	4232
SAOUHSC_01050	38238	28766	30232	32202	48008	6478
SAOUHSC_01051	1233	856	654	3629	5025	606
SAOUHSC_01053	1004	558	748	496	600	51
SAOUHSC_01054	1123	695	445	1742	2060	241
SAOUHSC_01055	19591	14845	12638	8914	9202	3410
SAOUHSC_01057	155	125	96	148	111	4
SAOUHSC_01058	20881	14680	17383	14279	11572	2387
SAOUHSC_01060	852	728	586	1085	1218	132
SAOUHSC_01061	1815	1267	1258	2458	2626	240
SAOUHSC_01062	2813	2278	1888	6671	4892	347
SAOUHSC_01063	4660	3375	3252	6183	7480	862
SAOUHSC_01064	18249	14449	11930	53748	51823	13018
SAOUHSC_01065	5346	4053	3618	7385	8293	1924
SAOUHSC_01066	3647	4384	2500	9633	10703	1815
SAOUHSC_01067	2877	2783	2067	6523	8445	434
SAOUHSC_01068	70	56	88	230	452	34
SAOUHSC_01069	3487	2860	2281	5095	6236	670
SAOUHSC_01070	1895	1499	1232	2319	2571	401
SAOUHSC_01071	1426	1062	794	2306	3796	668
SAOUHSC_01072	491	396	265	987	998	27
SAOUHSC_01073	199	150	114	399	329	29
SAOUHSC_01074	1230	769	952	1048	1642	369
SAOUHSC_01075	2603	1550	2007	1838	2266	345
SAOUHSC_01076	349	243	195	451	493	54
SAOUHSC_01077	48626	40226	44271	25224	24969	3104
SAOUHSC_A01041	29	15	9	11	12	0
SAOUHSC_01078	9384	6223	9132	5390	6687	789
SAOUHSC_01079	1101	725	744	355	405	72
SAOUHSC_01081	837	522	457	1516	2845	396
SAOUHSC_01082	194	165	119	323	381	35
SAOUHSC_01084	389	256	259	342	500	16
SAOUHSC_01085	303	217	176	152	207	17
SAOUHSC_01086	103	73	69	68	115	10
SAOUHSC_01087	50	43	35	32	34	6
SAOUHSC_01088	139	81	98	76	100	13
SAOUHSC_01089	100	53	71	43	87	3
SAOUHSC_01090	6	2	1	1	0	0
SAOUHSC_01091	2298	1764	1625	4521	4789	682
SAOUHSC_01092	878	820	589	1404	1591	420
SAOUHSC_01093	5051	3646	3393	7918	10019	1603
SAOUHSC_01095	678	497	389	963	1055	264
SAOUHSC_01096	1453	1184	1061	1645	2037	199
SAOUHSC_01097	2541	1875	1644	2129	2083	84
SAOUHSC_01098	5322	4234	2999	4235	3945	332
SAOUHSC_01099	10001	8261	6446	8953	8835	1510
SAOUHSC_01100	9453	7647	4144	16061	13649	1384
