Geneid	persister_1	persister_2	persister_3	control_1	control_2	control_3
SAOUHSC_00129	4214	3888	2754	5564	15407	5464
SAOUHSC_00130	1112	920	738	592	881	56
SAOUHSC_00131	779	640	533	487	735	38
SAOUHSC_00132	12570	13569	4556	22155	33328	3094
SAOUHSC_00133	656	562	384	1364	1571	174
SAOUHSC_00134	36	32	16	110	63	10
SAOUHSC_00135	1477	839	945	263	334	114
SAOUHSC_00136	377	196	219	31	40	10
SAOUHSC_00137	582	333	344	83	117	58
SAOUHSC_00138	467	267	258	69	97	17
SAOUHSC_00139	1328	786	835	1020	1825	290
SAOUHSC_00141	31944	19817	20392	5648	5388	287
SAOUHSC_00142	1819	1660	1168	268	243	84
SAOUHSC_00143	11495	5968	6820	1911	2338	316
SAOUHSC_00144	132809	76745	76112	59656	68080	14060
SAOUHSC_00145	20684	12186	11704	7413	7409	1046
SAOUHSC_00146	3856	2150	3233	3674	3446	1956
SAOUHSC_00147	3018	1608	2698	400	475	55
SAOUHSC_00148	3214	1800	3021	422	595	148
SAOUHSC_00149	861	463	732	151	216	37
SAOUHSC_00150	1022	615	966	152	287	41
SAOUHSC_00151	2100	1528	1601	6674	7490	348
SAOUHSC_00152	1614	1323	832	864	842	325
SAOUHSC_00153	2747	2460	1262	1412	2956	424
SAOUHSC_00154	42	24	25	14	5	0
SAOUHSC_00155	5498	3487	3547	13064	13086	3478
SAOUHSC_00156	3146	3866	2080	6873	16930	1773
SAOUHSC_00157	1926	2708	1393	2466	8000	2484
SAOUHSC_00158	3423	4489	2306	3392	9268	2960
SAOUHSC_00160	2618	3054	1701	1776	3738	384
SAOUHSC_00161	93	39	48	83	146	9
SAOUHSC_00162	2830	2390	1769	4385	5677	659
SAOUHSC_00163	1196	1019	742	3091	4802	249
SAOUHSC_00164	1164	1092	672	2660	3139	289
SAOUHSC_00166	1701	1543	1106	2850	5035	484
SAOUHSC_00167	3912	2467	2792	634	763	198
SAOUHSC_00168	176	122	98	66	67	15
SAOUHSC_00169	209	119	128	90	108	27
SAOUHSC_00170	788	373	431	291	484	92
SAOUHSC_00171	1204	672	669	723	1008	269
SAOUHSC_00172	2620	2109	2215	419	397	24
SAOUHSC_00173	41006	24811	35289	1099	1469	86
SAOUHSC_00174	2945	3355	1790	1736	2407	489
SAOUHSC_00175	296	251	178	238	364	76
SAOUHSC_00176	773	729	543	140	256	60
SAOUHSC_00177	934	951	695	166	334	80
SAOUHSC_00178	751	787	553	190	243	31
SAOUHSC_00179	1434	1542	1056	324	532	221
SAOUHSC_00180	1454	1503	1040	343	472	169
SAOUHSC_00181	1926	1969	1329	526	560	119
SAOUHSC_00182	664	429	460	870	974	43
SAOUHSC_00183	3295	4664	3631	2282	1402	591
SAOUHSC_00184	501	280	389	518	585	94
SAOUHSC_00185	723	453	479	821	1336	142
SAOUHSC_00186	331	203	218	645	750	108
SAOUHSC_00187	12060	9739	6919	115867	174686	49124
SAOUHSC_00188	5459	4054	2979	39178	70596	26720
SAOUHSC_00189	67	45	37	169	434	45
SAOUHSC_00190	1256	808	870	1508	2059	199
SAOUHSC_00191	4046	3277	2172	4803	4508	96
SAOUHSC_00192	5653	8979	4999	5793	2846	287
SAOUHSC_00193	28	35	18	16	13	0
SAOUHSC_00194	385	560	321	111	170	34
SAOUHSC_00195	2894	5457	1965	789	1803	487
SAOUHSC_00196	3670	8221	2429	1635	5369	568
SAOUHSC_00197	1656	5109	1106	1764	5228	859
SAOUHSC_00198	3034	7949	1752	7277	14139	1250
SAOUHSC_00199	3885	9123	2061	23673	38288	4513
SAOUHSC_00200	980	551	645	885	1256	167
SAOUHSC_00201	2498	1250	1866	1259	1481	140
SAOUHSC_00202	98	45	29	233	388	72
SAOUHSC_00203	144	70	72	458	735	101
SAOUHSC_00204	1718	1089	870	5708	10659	997
SAOUHSC_00205	55	34	41	28	42	3
SAOUHSC_00206	14468	13829	10665	132248	251350	57668
SAOUHSC_00208	55	49	55	115	95	10
SAOUHSC_00209	1873	1401	997	1500	941	564
SAOUHSC_00211	291	193	195	424	542	280
SAOUHSC_00212	3	2	0	0	0	0
SAOUHSC_00213	260	180	162	130	134	20
